,Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Other debtors / guarantors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telepthone,Foreign worker,Sex,Personal status
889,no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account,... < 1 year,3,guarantor,4,real estate,40,bank,rent,2,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
890,... < 0 DM,27,critical account/  other credits existing (not at this bank),business,2442,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",43,stores,own,4,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
891,no checking account,15,critical account/  other credits existing (not at this bank),radio/television,1829,... <  100 DM,.. >= 7 years,4,none,4,"car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
892,... < 0 DM,12,critical account/  other credits existing (not at this bank),car (new),2171,... <  100 DM,1  <= ... < 4 years,4,none,4,building society savings agreement/ life insurance,38,bank,own,2,unskilled - resident,1,none,no,male,single
893,0 <= ... < 200 DM,36,critical account/  other credits existing (not at this bank),car (used),5800,... <  100 DM,1  <= ... < 4 years,3,none,4,"car or other, not in attribute 6",34,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
894,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1  <= ... < 4 years,4,none,3,building society savings agreement/ life insurance,29,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
895,no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4  <= ... < 7 years,3,none,2,"car or other, not in attribute 6",31,stores,own,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
896,... < 0 DM,21,existing credits paid back duly till now,radio/television,2606,... <  100 DM,... < 1 year,4,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,female,divorced/separated/married
897,no checking account,12,critical account/  other credits existing (not at this bank),furniture/equipment,1592,.. >= 1000 DM,4  <= ... < 7 years,3,none,2,building society savings agreement/ life insurance,35,none,own,1,skilled employee / official,1,none,no,female,divorced/separated/married
898,no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4  <= ... < 7 years,1,none,4,real estate,33,bank,rent,1,unskilled - resident,1,none,yes,female,divorced/separated/married
899,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... <  100 DM,1  <= ... < 4 years,2,co-applicant,3,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes,male,single
900,... < 0 DM,16,critical account/  other credits existing (not at this bank),car (new),2625,... <  100 DM,.. >= 7 years,2,guarantor,4,building society savings agreement/ life insurance,43,bank,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
901,no checking account,20,critical account/  other credits existing (not at this bank),car (new),3485,unknown/ no savings account,... < 1 year,2,none,4,real estate,44,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated
902,no checking account,36,critical account/  other credits existing (not at this bank),car (used),10477,unknown/ no savings account,.. >= 7 years,2,none,4,unknown / no property,42,none,for free,2,skilled employee / official,1,none,yes,male,single
903,no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1  <= ... < 4 years,4,none,2,real estate,40,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,married/widowed
904,no checking account,24,existing credits paid back duly till now,radio/television,1278,... <  100 DM,.. >= 7 years,4,none,1,real estate,36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
905,... < 0 DM,12,existing credits paid back duly till now,radio/television,1107,... <  100 DM,1  <= ... < 4 years,2,none,2,real estate,20,none,rent,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name",yes,male,single
906,... < 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4  <= ... < 7 years,2,co-applicant,2,real estate,24,none,own,1,unskilled - resident,1,none,no,male,single
907,0 <= ... < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1  <= ... < 4 years,2,none,2,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1,none,yes,male,married/widowed
908,no checking account,15,delay in paying off in the past,car (used),3594,... <  100 DM,... < 1 year,1,none,2,building society savings agreement/ life insurance,46,none,own,2,unskilled - resident,1,none,yes,female,divorced/separated/married
909,0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1  <= ... < 4 years,1,none,2,real estate,33,none,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
910,no checking account,36,delay in paying off in the past,radio/television,4454,... <  100 DM,1  <= ... < 4 years,4,none,4,real estate,34,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
911,0 <= ... < 200 DM,24,critical account/  other credits existing (not at this bank),furniture/equipment,4736,... <  100 DM,... < 1 year,2,none,4,"car or other, not in attribute 6",25,bank,own,1,unskilled - resident,1,none,yes,female,divorced/separated/married
912,0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,.. >= 7 years,2,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,female,divorced/separated/married
913,no checking account,11,existing credits paid back duly till now,business,2142,.. >= 1000 DM,.. >= 7 years,1,none,2,real estate,28,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated
914,... < 0 DM,24,all credits at this bank paid back duly,business,3161,... <  100 DM,1  <= ... < 4 years,4,none,2,building society savings agreement/ life insurance,31,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
915,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,... <  100 DM,1  <= ... < 4 years,1,none,2,building society savings agreement/ life insurance,32,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",no,female,divorced/separated/married
916,no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= ... <  500 DM,1  <= ... < 4 years,1,co-applicant,2,real estate,32,none,own,1,skilled employee / official,2,none,yes,male,single
917,... < 0 DM,6,existing credits paid back duly till now,car (new),14896,... <  100 DM,.. >= 7 years,1,none,4,unknown / no property,68,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
918,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... <  500 DM,unemployed,1,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1,none,yes,male,divorced/separated
919,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,... <  100 DM,.. >= 7 years,4,none,2,building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
920,no checking account,18,critical account/  other credits existing (not at this bank),furniture/equipment,1817,... <  100 DM,1  <= ... < 4 years,4,none,2,unknown / no property,28,none,own,2,skilled employee / official,1,none,yes,female,divorced/separated/married
921,no checking account,48,delay in paying off in the past,radio/television,12749,500 <= ... < 1000 DM,4  <= ... < 7 years,4,none,1,"car or other, not in attribute 6",37,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name",yes,male,single
922,... < 0 DM,9,existing credits paid back duly till now,radio/television,1366,... <  100 DM,... < 1 year,3,none,4,building society savings agreement/ life insurance,22,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
923,0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),2002,... <  100 DM,4  <= ... < 7 years,3,none,4,building society savings agreement/ life insurance,30,none,rent,1,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
924,... < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,... <  100 DM,... < 1 year,2,none,1,building society savings agreement/ life insurance,55,bank,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,divorced/separated
925,... < 0 DM,12,all credits at this bank paid back duly,car (new),697,... <  100 DM,... < 1 year,4,none,2,"car or other, not in attribute 6",46,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
926,... < 0 DM,18,critical account/  other credits existing (not at this bank),furniture/equipment,1049,... <  100 DM,... < 1 year,4,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,female,divorced/separated/married
927,... < 0 DM,48,existing credits paid back duly till now,car (used),10297,... <  100 DM,4  <= ... < 7 years,4,none,4,unknown / no property,39,stores,for free,3,skilled employee / official,2,"yes, registered under the customers name",yes,male,single
928,no checking account,30,existing credits paid back duly till now,radio/television,1867,unknown/ no savings account,.. >= 7 years,4,none,4,"car or other, not in attribute 6",58,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes,male,single
929,... < 0 DM,12,delay in paying off in the past,car (new),1344,... <  100 DM,1  <= ... < 4 years,4,none,2,real estate,43,none,own,2,unskilled - resident,2,none,yes,male,single
930,... < 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,... <  100 DM,... < 1 year,4,co-applicant,1,building society savings agreement/ life insurance,24,none,own,1,unskilled - resident,1,none,no,male,single
